1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3D0000002D6FEC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:03:01 MST 2016
Mission Sample Count:  2741
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:03:01 MST 2016
Total Mission Samples:  2741
Total Device Samples:  43016
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/22/16 1:53:01 PM,C,54.022
12/22/16 2:03:01 PM,C,57.002
12/22/16 2:13:01 PM,C,56.506
12/22/16 2:23:01 PM,C,57.002
12/22/16 2:33:01 PM,C,59.484
12/22/16 2:43:01 PM,C,56.009
12/22/16 2:53:01 PM,C,57.499
12/22/16 3:03:01 PM,C,59.484
12/22/16 3:13:01 PM,C,58.492
12/22/16 3:23:01 PM,C,58.492
12/22/16 3:33:01 PM,C,58.988
12/22/16 3:43:01 PM,C,58.492
12/22/16 3:53:01 PM,C,57.002
12/22/16 4:03:01 PM,C,50.543
12/22/16 4:13:01 PM,C,42.58
12/22/16 4:23:01 PM,C,41.085
12/22/16 4:33:01 PM,C,42.58
12/22/16 4:43:01 PM,C,39.091
12/22/16 4:53:01 PM,C,39.59
12/22/16 5:03:01 PM,C,41.085
12/22/16 5:13:01 PM,C,40.587
12/22/16 5:23:01 PM,C,37.097
12/22/16 5:33:01 PM,C,37.097
12/22/16 5:43:01 PM,C,36.598
12/22/16 5:53:01 PM,C,35.6
12/22/16 6:03:01 PM,C,37.596
12/22/16 6:13:01 PM,C,37.596
12/22/16 6:23:01 PM,C,33.604
12/22/16 6:33:01 PM,C,33.604
12/22/16 6:43:01 PM,C,33.105
12/22/16 6:53:01 PM,C,33.105
12/22/16 7:03:01 PM,C,32.107
12/22/16 7:13:01 PM,C,31.607
12/22/16 7:23:01 PM,C,31.108
12/22/16 7:33:01 PM,C,30.109
12/22/16 7:43:01 PM,C,29.61
12/22/16 7:53:01 PM,C,28.61
12/22/16 8:03:01 PM,C,28.111
12/22/16 8:13:01 PM,C,27.111
12/22/16 8:23:01 PM,C,26.611
12/22/16 8:33:01 PM,C,26.111
12/22/16 8:43:01 PM,C,25.611
12/22/16 8:53:01 PM,C,25.111
12/22/16 9:03:01 PM,C,24.611
12/22/16 9:13:01 PM,C,24.611
12/22/16 9:23:01 PM,C,24.611
12/22/16 9:33:01 PM,C,24.611
12/22/16 9:43:01 PM,C,25.611
12/22/16 9:53:01 PM,C,25.611
12/22/16 10:03:01 PM,C,25.611
12/22/16 10:13:01 PM,C,25.611
12/22/16 10:23:01 PM,C,25.111
12/22/16 10:33:01 PM,C,25.111
12/22/16 10:43:01 PM,C,24.611
12/22/16 10:53:01 PM,C,24.111
12/22/16 11:03:01 PM,C,24.111
12/22/16 11:13:01 PM,C,23.611
12/22/16 11:23:01 PM,C,23.611
12/22/16 11:33:01 PM,C,23.111
12/22/16 11:43:01 PM,C,23.111
12/22/16 11:53:01 PM,C,22.61
12/23/16 12:03:01 AM,C,22.61
12/23/16 12:13:01 AM,C,22.11
12/23/16 12:23:01 AM,C,21.609
12/23/16 12:33:01 AM,C,21.609
12/23/16 12:43:01 AM,C,21.109
12/23/16 12:53:01 AM,C,21.609
12/23/16 1:03:01 AM,C,21.609
12/23/16 1:13:01 AM,C,21.609
12/23/16 1:23:01 AM,C,21.609
12/23/16 1:33:01 AM,C,21.109
12/23/16 1:43:01 AM,C,21.109
12/23/16 1:53:01 AM,C,21.109
12/23/16 2:03:01 AM,C,21.109
12/23/16 2:13:01 AM,C,21.109
12/23/16 2:23:01 AM,C,21.109
12/23/16 2:33:01 AM,C,20.608
12/23/16 2:43:01 AM,C,20.608
12/23/16 2:53:01 AM,C,20.608
12/23/16 3:03:01 AM,C,20.608
12/23/16 3:13:01 AM,C,20.108
12/23/16 3:23:01 AM,C,20.108
12/23/16 3:33:01 AM,C,20.108
12/23/16 3:43:01 AM,C,20.108
12/23/16 3:53:01 AM,C,20.108
12/23/16 4:03:01 AM,C,19.607
12/23/16 4:13:01 AM,C,19.607
12/23/16 4:23:01 AM,C,19.607
12/23/16 4:33:01 AM,C,19.107
12/23/16 4:43:01 AM,C,19.107
12/23/16 4:53:01 AM,C,19.107
12/23/16 5:03:01 AM,C,19.107
12/23/16 5:13:01 AM,C,18.606
12/23/16 5:23:01 AM,C,18.606
12/23/16 5:33:01 AM,C,18.606
12/23/16 5:43:01 AM,C,18.606
12/23/16 5:53:01 AM,C,18.606
12/23/16 6:03:01 AM,C,18.606
12/23/16 6:13:01 AM,C,18.606
12/23/16 6:23:01 AM,C,18.606
12/23/16 6:33:01 AM,C,19.107
12/23/16 6:43:01 AM,C,19.107
12/23/16 6:53:01 AM,C,19.607
12/23/16 7:03:01 AM,C,19.607
12/23/16 7:13:01 AM,C,20.108
12/23/16 7:23:01 AM,C,20.608
12/23/16 7:33:01 AM,C,21.109
12/23/16 7:43:01 AM,C,21.609
12/23/16 7:53:01 AM,C,22.11
12/23/16 8:03:01 AM,C,22.11
12/23/16 8:13:01 AM,C,23.111
12/23/16 8:23:01 AM,C,24.111
12/23/16 8:33:01 AM,C,24.111
12/23/16 8:43:01 AM,C,25.611
12/23/16 8:53:01 AM,C,27.111
12/23/16 9:03:01 AM,C,28.61
12/23/16 9:13:01 AM,C,26.611
12/23/16 9:23:01 AM,C,27.611
12/23/16 9:33:01 AM,C,27.611
12/23/16 9:43:01 AM,C,27.611
12/23/16 9:53:01 AM,C,28.61
12/23/16 10:03:01 AM,C,29.11
12/23/16 10:13:01 AM,C,30.609
12/23/16 10:23:01 AM,C,30.609
12/23/16 10:33:01 AM,C,31.108
12/23/16 10:43:01 AM,C,31.607
12/23/16 10:53:01 AM,C,34.104
12/23/16 11:03:01 AM,C,42.58
12/23/16 11:13:01 AM,C,44.074
12/23/16 11:23:01 AM,C,46.065
12/23/16 11:33:01 AM,C,47.558
12/23/16 11:43:01 AM,C,48.056
12/23/16 11:53:01 AM,C,49.051
12/23/16 12:03:01 PM,C,49.051
12/23/16 12:13:01 PM,C,52.034
12/23/16 12:23:01 PM,C,51.537
12/23/16 12:33:01 PM,C,51.537
12/23/16 12:43:01 PM,C,52.531
12/23/16 12:53:01 PM,C,53.525
12/23/16 1:03:01 PM,C,50.045
12/23/16 1:13:01 PM,C,53.028
12/23/16 1:23:01 PM,C,55.016
12/23/16 1:33:01 PM,C,55.512
12/23/16 1:43:01 PM,C,56.506
12/23/16 1:53:01 PM,C,57.002
12/23/16 2:03:01 PM,C,56.009
12/23/16 2:13:01 PM,C,59.484
12/23/16 2:23:01 PM,C,56.009
12/23/16 2:33:01 PM,C,57.499
12/23/16 2:43:01 PM,C,61.469
12/23/16 2:53:01 PM,C,56.506
12/23/16 3:03:01 PM,C,60.973
12/23/16 3:13:01 PM,C,58.492
12/23/16 3:23:01 PM,C,60.477
12/23/16 3:33:01 PM,C,61.469
12/23/16 3:43:01 PM,C,43.576
12/23/16 3:53:01 PM,C,50.045
12/23/16 4:03:01 PM,C,49.051
12/23/16 4:13:01 PM,C,48.056
12/23/16 4:23:01 PM,C,46.065
12/23/16 4:33:01 PM,C,46.065
12/23/16 4:43:01 PM,C,45.568
12/23/16 4:53:01 PM,C,40.587
12/23/16 5:03:01 PM,C,38.094
12/23/16 5:13:01 PM,C,38.593
12/23/16 5:23:01 PM,C,40.088
12/23/16 5:33:01 PM,C,40.587
12/23/16 5:43:01 PM,C,40.088
12/23/16 5:53:01 PM,C,36.598
12/23/16 6:03:01 PM,C,38.094
12/23/16 6:13:01 PM,C,36.099
12/23/16 6:23:01 PM,C,34.603
12/23/16 6:33:01 PM,C,35.102
12/23/16 6:43:01 PM,C,35.102
12/23/16 6:53:01 PM,C,35.6
12/23/16 7:03:01 PM,C,34.603
12/23/16 7:13:01 PM,C,33.604
12/23/16 7:23:01 PM,C,33.105
12/23/16 7:33:01 PM,C,32.606
12/23/16 7:43:01 PM,C,32.107
12/23/16 7:53:01 PM,C,31.108
12/23/16 8:03:01 PM,C,30.609
12/23/16 8:13:01 PM,C,29.61
12/23/16 8:23:01 PM,C,29.11
12/23/16 8:33:01 PM,C,28.61
12/23/16 8:43:01 PM,C,28.111
12/23/16 8:53:01 PM,C,28.111
12/23/16 9:03:01 PM,C,27.611
12/23/16 9:13:01 PM,C,27.111
12/23/16 9:23:01 PM,C,26.611
12/23/16 9:33:01 PM,C,26.611
12/23/16 9:43:01 PM,C,26.111
12/23/16 9:53:01 PM,C,26.111
12/23/16 10:03:01 PM,C,26.611
12/23/16 10:13:01 PM,C,26.611
12/23/16 10:23:01 PM,C,26.111
12/23/16 10:33:01 PM,C,26.611
12/23/16 10:43:01 PM,C,26.611
12/23/16 10:53:01 PM,C,26.611
12/23/16 11:03:01 PM,C,26.611
12/23/16 11:13:01 PM,C,26.611
12/23/16 11:23:01 PM,C,27.111
12/23/16 11:33:01 PM,C,27.611
12/23/16 11:43:01 PM,C,28.111
12/23/16 11:53:01 PM,C,28.111
12/24/16 12:03:01 AM,C,28.111
12/24/16 12:13:01 AM,C,27.611
12/24/16 12:23:01 AM,C,28.111
12/24/16 12:33:01 AM,C,26.611
12/24/16 12:43:01 AM,C,23.111
12/24/16 12:53:01 AM,C,20.608
12/24/16 1:03:01 AM,C,20.108
12/24/16 1:13:01 AM,C,19.607
12/24/16 1:23:01 AM,C,19.107
12/24/16 1:33:01 AM,C,20.108
12/24/16 1:43:01 AM,C,20.108
12/24/16 1:53:01 AM,C,20.108
12/24/16 2:03:01 AM,C,20.108
12/24/16 2:13:01 AM,C,20.608
12/24/16 2:23:01 AM,C,20.108
12/24/16 2:33:01 AM,C,20.108
12/24/16 2:43:01 AM,C,19.607
12/24/16 2:53:01 AM,C,19.107
12/24/16 3:03:01 AM,C,19.107
12/24/16 3:13:01 AM,C,19.107
12/24/16 3:23:01 AM,C,19.107
12/24/16 3:33:01 AM,C,19.107
12/24/16 3:43:01 AM,C,19.107
12/24/16 3:53:01 AM,C,18.606
12/24/16 4:03:01 AM,C,18.606
12/24/16 4:13:01 AM,C,19.107
12/24/16 4:23:01 AM,C,19.107
12/24/16 4:33:01 AM,C,19.107
12/24/16 4:43:01 AM,C,19.107
12/24/16 4:53:01 AM,C,19.107
12/24/16 5:03:01 AM,C,19.107
12/24/16 5:13:01 AM,C,19.107
12/24/16 5:23:01 AM,C,19.107
12/24/16 5:33:01 AM,C,19.107
12/24/16 5:43:01 AM,C,19.607
12/24/16 5:53:01 AM,C,19.607
12/24/16 6:03:01 AM,C,19.607
12/24/16 6:13:01 AM,C,19.607
12/24/16 6:23:01 AM,C,19.607
12/24/16 6:33:01 AM,C,19.607
12/24/16 6:43:01 AM,C,19.107
12/24/16 6:53:01 AM,C,19.107
12/24/16 7:03:01 AM,C,19.107
12/24/16 7:13:01 AM,C,19.607
12/24/16 7:23:01 AM,C,19.607
12/24/16 7:33:01 AM,C,19.607
12/24/16 7:43:01 AM,C,19.607
12/24/16 7:53:01 AM,C,19.607
12/24/16 8:03:01 AM,C,19.607
12/24/16 8:13:01 AM,C,19.107
12/24/16 8:23:01 AM,C,19.607
12/24/16 8:33:01 AM,C,20.108
12/24/16 8:43:01 AM,C,20.608
12/24/16 8:53:01 AM,C,21.109
12/24/16 9:03:01 AM,C,20.608
12/24/16 9:13:01 AM,C,20.608
12/24/16 9:23:01 AM,C,21.109
12/24/16 9:33:01 AM,C,21.609
12/24/16 9:43:01 AM,C,22.61
12/24/16 9:53:01 AM,C,23.111
12/24/16 10:03:01 AM,C,22.61
12/24/16 10:13:01 AM,C,25.111
12/24/16 10:23:01 AM,C,26.111
12/24/16 10:33:01 AM,C,27.111
12/24/16 10:43:01 AM,C,27.611
12/24/16 10:53:01 AM,C,28.111
12/24/16 11:03:01 AM,C,38.593
12/24/16 11:13:01 AM,C,38.094
12/24/16 11:23:01 AM,C,40.088
12/24/16 11:33:01 AM,C,38.593
12/24/16 11:43:01 AM,C,43.576
12/24/16 11:53:01 AM,C,46.065
12/24/16 12:03:01 PM,C,46.065
12/24/16 12:13:01 PM,C,46.065
12/24/16 12:23:01 PM,C,41.583
12/24/16 12:33:01 PM,C,47.558
12/24/16 12:43:01 PM,C,46.563
12/24/16 12:53:01 PM,C,41.085
12/24/16 1:03:01 PM,C,44.074
12/24/16 1:13:01 PM,C,46.065
12/24/16 1:23:01 PM,C,47.061
12/24/16 1:33:01 PM,C,50.045
12/24/16 1:43:01 PM,C,48.056
12/24/16 1:53:01 PM,C,44.572
12/24/16 2:03:01 PM,C,45.07
12/24/16 2:13:01 PM,C,48.056
12/24/16 2:23:01 PM,C,49.051
12/24/16 2:33:01 PM,C,50.543
12/24/16 2:43:01 PM,C,49.548
12/24/16 2:53:01 PM,C,51.04
12/24/16 3:03:01 PM,C,50.045
12/24/16 3:13:01 PM,C,50.543
12/24/16 3:23:01 PM,C,50.045
12/24/16 3:33:01 PM,C,49.548
12/24/16 3:43:01 PM,C,50.543
12/24/16 3:53:01 PM,C,47.558
12/24/16 4:03:01 PM,C,44.572
12/24/16 4:13:01 PM,C,38.094
12/24/16 4:23:01 PM,C,35.102
12/24/16 4:33:01 PM,C,34.603
12/24/16 4:43:01 PM,C,33.604
12/24/16 4:53:01 PM,C,32.107
12/24/16 5:03:01 PM,C,31.607
12/24/16 5:13:01 PM,C,31.108
12/24/16 5:23:01 PM,C,29.61
12/24/16 5:33:01 PM,C,25.111
12/24/16 5:43:01 PM,C,23.111
12/24/16 5:53:01 PM,C,22.11
12/24/16 6:03:01 PM,C,23.111
12/24/16 6:13:01 PM,C,23.111
12/24/16 6:23:01 PM,C,23.111
12/24/16 6:33:01 PM,C,23.111
12/24/16 6:43:01 PM,C,23.111
12/24/16 6:53:01 PM,C,23.111
12/24/16 7:03:01 PM,C,22.61
12/24/16 7:13:01 PM,C,22.11
12/24/16 7:23:01 PM,C,21.109
12/24/16 7:33:01 PM,C,21.609
12/24/16 7:43:01 PM,C,22.11
12/24/16 7:53:01 PM,C,22.11
12/24/16 8:03:01 PM,C,22.61
12/24/16 8:13:01 PM,C,22.11
12/24/16 8:23:01 PM,C,22.61
12/24/16 8:33:01 PM,C,22.11
12/24/16 8:43:01 PM,C,22.11
12/24/16 8:53:01 PM,C,21.609
12/24/16 9:03:01 PM,C,21.609
12/24/16 9:13:01 PM,C,21.609
12/24/16 9:23:01 PM,C,21.609
12/24/16 9:33:01 PM,C,21.609
12/24/16 9:43:01 PM,C,21.609
12/24/16 9:53:01 PM,C,21.609
12/24/16 10:03:01 PM,C,21.609
12/24/16 10:13:01 PM,C,21.609
12/24/16 10:23:01 PM,C,21.609
12/24/16 10:33:01 PM,C,21.609
12/24/16 10:43:01 PM,C,21.609
12/24/16 10:53:01 PM,C,21.609
12/24/16 11:03:01 PM,C,21.609
12/24/16 11:13:01 PM,C,21.109
12/24/16 11:23:01 PM,C,21.109
12/24/16 11:33:01 PM,C,21.109
12/24/16 11:43:01 PM,C,21.109
12/24/16 11:53:01 PM,C,20.608
12/25/16 12:03:01 AM,C,20.608
12/25/16 12:13:01 AM,C,20.608
12/25/16 12:23:01 AM,C,20.108
12/25/16 12:33:01 AM,C,20.108
12/25/16 12:43:01 AM,C,20.108
12/25/16 12:53:01 AM,C,20.108
12/25/16 1:03:01 AM,C,20.108
12/25/16 1:13:01 AM,C,20.108
12/25/16 1:23:01 AM,C,20.108
12/25/16 1:33:01 AM,C,20.108
12/25/16 1:43:01 AM,C,20.108
12/25/16 1:53:01 AM,C,19.607
12/25/16 2:03:01 AM,C,19.607
12/25/16 2:13:01 AM,C,19.607
12/25/16 2:23:01 AM,C,19.607
12/25/16 2:33:01 AM,C,20.108
12/25/16 2:43:01 AM,C,20.108
12/25/16 2:53:01 AM,C,20.108
12/25/16 3:03:01 AM,C,19.607
12/25/16 3:13:01 AM,C,19.607
12/25/16 3:23:01 AM,C,19.607
12/25/16 3:33:01 AM,C,19.607
12/25/16 3:43:01 AM,C,19.607
12/25/16 3:53:01 AM,C,19.607
12/25/16 4:03:01 AM,C,19.607
12/25/16 4:13:01 AM,C,19.607
12/25/16 4:23:01 AM,C,19.107
12/25/16 4:33:01 AM,C,19.107
12/25/16 4:43:01 AM,C,19.107
12/25/16 4:53:01 AM,C,19.107
12/25/16 5:03:01 AM,C,19.107
12/25/16 5:13:01 AM,C,19.107
12/25/16 5:23:01 AM,C,18.606
12/25/16 5:33:01 AM,C,18.606
12/25/16 5:43:01 AM,C,18.606
12/25/16 5:53:01 AM,C,18.606
12/25/16 6:03:01 AM,C,18.606
12/25/16 6:13:01 AM,C,18.606
12/25/16 6:23:01 AM,C,18.606
12/25/16 6:33:01 AM,C,18.606
12/25/16 6:43:01 AM,C,18.606
12/25/16 6:53:01 AM,C,19.107
12/25/16 7:03:01 AM,C,19.107
12/25/16 7:13:01 AM,C,19.107
12/25/16 7:23:01 AM,C,19.107
12/25/16 7:33:01 AM,C,19.607
12/25/16 7:43:01 AM,C,19.607
12/25/16 7:53:01 AM,C,20.108
12/25/16 8:03:01 AM,C,20.108
12/25/16 8:13:01 AM,C,20.108
12/25/16 8:23:01 AM,C,20.608
12/25/16 8:33:01 AM,C,20.608
12/25/16 8:43:01 AM,C,21.109
12/25/16 8:53:01 AM,C,22.11
12/25/16 9:03:01 AM,C,25.111
12/25/16 9:13:01 AM,C,22.11
12/25/16 9:23:01 AM,C,22.11
12/25/16 9:33:01 AM,C,22.11
12/25/16 9:43:01 AM,C,22.61
12/25/16 9:53:01 AM,C,22.61
12/25/16 10:03:01 AM,C,22.61
12/25/16 10:13:01 AM,C,22.61
12/25/16 10:23:01 AM,C,24.111
12/25/16 10:33:01 AM,C,24.611
12/25/16 10:43:01 AM,C,24.111
12/25/16 10:53:01 AM,C,26.111
12/25/16 11:03:01 AM,C,37.596
12/25/16 11:13:01 AM,C,39.091
12/25/16 11:23:01 AM,C,41.085
12/25/16 11:33:01 AM,C,42.58
12/25/16 11:43:01 AM,C,43.576
12/25/16 11:53:01 AM,C,43.576
12/25/16 12:03:01 PM,C,44.074
12/25/16 12:13:01 PM,C,43.576
12/25/16 12:23:01 PM,C,45.07
12/25/16 12:33:01 PM,C,45.07
12/25/16 12:43:01 PM,C,46.065
12/25/16 12:53:01 PM,C,45.568
12/25/16 1:03:01 PM,C,47.061
12/25/16 1:13:01 PM,C,45.568
12/25/16 1:23:01 PM,C,46.563
12/25/16 1:33:01 PM,C,48.056
12/25/16 1:43:01 PM,C,45.568
12/25/16 1:53:01 PM,C,42.58
12/25/16 2:03:01 PM,C,45.568
12/25/16 2:13:01 PM,C,38.094
12/25/16 2:23:01 PM,C,47.061
12/25/16 2:33:01 PM,C,47.558
12/25/16 2:43:01 PM,C,49.548
12/25/16 2:53:01 PM,C,50.045
12/25/16 3:03:01 PM,C,41.583
12/25/16 3:13:01 PM,C,50.045
12/25/16 3:23:01 PM,C,50.543
12/25/16 3:33:01 PM,C,50.045
12/25/16 3:43:01 PM,C,40.088
12/25/16 3:53:01 PM,C,49.051
12/25/16 4:03:01 PM,C,39.091
12/25/16 4:13:01 PM,C,40.587
12/25/16 4:23:01 PM,C,38.094
12/25/16 4:33:01 PM,C,37.596
12/25/16 4:43:01 PM,C,34.603
12/25/16 4:53:01 PM,C,35.102
12/25/16 5:03:01 PM,C,32.606
12/25/16 5:13:01 PM,C,34.603
12/25/16 5:23:01 PM,C,33.105
12/25/16 5:33:01 PM,C,32.606
12/25/16 5:43:01 PM,C,32.107
12/25/16 5:53:01 PM,C,32.107
12/25/16 6:03:01 PM,C,31.607
12/25/16 6:13:01 PM,C,31.607
12/25/16 6:23:01 PM,C,30.109
12/25/16 6:33:01 PM,C,29.61
12/25/16 6:43:01 PM,C,29.11
12/25/16 6:53:01 PM,C,29.61
12/25/16 7:03:01 PM,C,28.61
12/25/16 7:13:01 PM,C,28.111
12/25/16 7:23:01 PM,C,28.111
12/25/16 7:33:01 PM,C,27.611
12/25/16 7:43:01 PM,C,27.111
12/25/16 7:53:01 PM,C,26.611
12/25/16 8:03:01 PM,C,26.111
12/25/16 8:13:01 PM,C,25.611
12/25/16 8:23:01 PM,C,25.611
12/25/16 8:33:01 PM,C,25.111
12/25/16 8:43:01 PM,C,25.111
12/25/16 8:53:01 PM,C,24.611
12/25/16 9:03:01 PM,C,24.611
12/25/16 9:13:01 PM,C,24.611
12/25/16 9:23:01 PM,C,24.111
12/25/16 9:33:01 PM,C,24.111
12/25/16 9:43:01 PM,C,24.111
12/25/16 9:53:01 PM,C,23.611
12/25/16 10:03:01 PM,C,23.611
12/25/16 10:13:01 PM,C,23.611
12/25/16 10:23:01 PM,C,23.111
12/25/16 10:33:01 PM,C,23.111
12/25/16 10:43:01 PM,C,23.111
12/25/16 10:53:01 PM,C,22.61
12/25/16 11:03:01 PM,C,22.61
12/25/16 11:13:01 PM,C,22.61
12/25/16 11:23:01 PM,C,22.61
12/25/16 11:33:01 PM,C,22.61
12/25/16 11:43:01 PM,C,22.11
12/25/16 11:53:01 PM,C,22.11
12/26/16 12:03:01 AM,C,22.11
12/26/16 12:13:01 AM,C,22.11
12/26/16 12:23:01 AM,C,22.11
12/26/16 12:33:01 AM,C,22.11
12/26/16 12:43:01 AM,C,21.609
12/26/16 12:53:01 AM,C,21.609
12/26/16 1:03:01 AM,C,21.609
12/26/16 1:13:01 AM,C,21.609
12/26/16 1:23:01 AM,C,21.609
12/26/16 1:33:01 AM,C,21.109
12/26/16 1:43:01 AM,C,21.109
12/26/16 1:53:01 AM,C,21.109
12/26/16 2:03:01 AM,C,21.109
12/26/16 2:13:01 AM,C,21.109
12/26/16 2:23:01 AM,C,21.109
12/26/16 2:33:01 AM,C,21.109
12/26/16 2:43:01 AM,C,20.608
12/26/16 2:53:01 AM,C,20.608
12/26/16 3:03:01 AM,C,20.608
12/26/16 3:13:01 AM,C,20.608
12/26/16 3:23:01 AM,C,20.608
12/26/16 3:33:01 AM,C,20.108
12/26/16 3:43:01 AM,C,20.108
12/26/16 3:53:01 AM,C,20.108
12/26/16 4:03:01 AM,C,20.108
12/26/16 4:13:01 AM,C,20.108
12/26/16 4:23:01 AM,C,20.108
12/26/16 4:33:01 AM,C,20.108
12/26/16 4:43:01 AM,C,20.108
12/26/16 4:53:01 AM,C,20.108
12/26/16 5:03:01 AM,C,20.108
12/26/16 5:13:01 AM,C,20.108
12/26/16 5:23:01 AM,C,20.108
12/26/16 5:33:01 AM,C,19.607
12/26/16 5:43:01 AM,C,19.607
12/26/16 5:53:01 AM,C,19.607
12/26/16 6:03:01 AM,C,19.607
12/26/16 6:13:01 AM,C,19.607
12/26/16 6:23:01 AM,C,19.607
12/26/16 6:33:01 AM,C,19.607
12/26/16 6:43:01 AM,C,20.108
12/26/16 6:53:01 AM,C,20.108
12/26/16 7:03:01 AM,C,20.108
12/26/16 7:13:01 AM,C,20.608
12/26/16 7:23:01 AM,C,20.608
12/26/16 7:33:01 AM,C,21.109
12/26/16 7:43:01 AM,C,21.609
12/26/16 7:53:01 AM,C,21.609
12/26/16 8:03:01 AM,C,22.11
12/26/16 8:13:01 AM,C,22.61
12/26/16 8:23:01 AM,C,22.61
12/26/16 8:33:01 AM,C,23.111
12/26/16 8:43:01 AM,C,25.111
12/26/16 8:53:01 AM,C,27.611
12/26/16 9:03:01 AM,C,26.611
12/26/16 9:13:01 AM,C,24.611
12/26/16 9:23:01 AM,C,27.111
12/26/16 9:33:01 AM,C,25.611
12/26/16 9:43:01 AM,C,25.611
12/26/16 9:53:01 AM,C,25.611
12/26/16 10:03:01 AM,C,25.611
12/26/16 10:13:01 AM,C,26.611
12/26/16 10:23:01 AM,C,27.611
12/26/16 10:33:01 AM,C,28.111
12/26/16 10:43:01 AM,C,27.611
12/26/16 10:53:01 AM,C,28.61
12/26/16 11:03:01 AM,C,38.593
12/26/16 11:13:01 AM,C,43.078
12/26/16 11:23:01 AM,C,44.572
12/26/16 11:33:01 AM,C,44.572
12/26/16 11:43:01 AM,C,45.568
12/26/16 11:53:01 AM,C,46.563
12/26/16 12:03:01 PM,C,48.056
12/26/16 12:13:01 PM,C,49.051
12/26/16 12:23:01 PM,C,51.04
12/26/16 12:33:01 PM,C,51.04
12/26/16 12:43:01 PM,C,51.537
12/26/16 12:53:01 PM,C,51.04
12/26/16 1:03:01 PM,C,52.034
12/26/16 1:13:01 PM,C,53.028
12/26/16 1:23:01 PM,C,53.525
12/26/16 1:33:01 PM,C,54.519
12/26/16 1:43:01 PM,C,48.553
12/26/16 1:53:01 PM,C,46.065
12/26/16 2:03:01 PM,C,46.065
12/26/16 2:13:01 PM,C,47.558
12/26/16 2:23:01 PM,C,45.568
12/26/16 2:33:01 PM,C,52.034
12/26/16 2:43:01 PM,C,51.537
12/26/16 2:53:01 PM,C,50.045
12/26/16 3:03:01 PM,C,47.061
12/26/16 3:13:01 PM,C,44.572
12/26/16 3:23:01 PM,C,47.558
12/26/16 3:33:01 PM,C,51.537
12/26/16 3:43:01 PM,C,51.537
12/26/16 3:53:01 PM,C,52.034
12/26/16 4:03:01 PM,C,49.548
12/26/16 4:13:01 PM,C,41.085
12/26/16 4:23:01 PM,C,40.587
12/26/16 4:33:01 PM,C,41.085
12/26/16 4:43:01 PM,C,39.091
12/26/16 4:53:01 PM,C,39.091
12/26/16 5:03:01 PM,C,36.099
12/26/16 5:13:01 PM,C,40.088
12/26/16 5:23:01 PM,C,38.094
12/26/16 5:33:01 PM,C,35.6
12/26/16 5:43:01 PM,C,36.099
12/26/16 5:53:01 PM,C,35.6
12/26/16 6:03:01 PM,C,35.6
12/26/16 6:13:01 PM,C,36.099
12/26/16 6:23:01 PM,C,34.603
12/26/16 6:33:01 PM,C,34.603
12/26/16 6:43:01 PM,C,34.104
12/26/16 6:53:01 PM,C,33.604
12/26/16 7:03:01 PM,C,32.606
12/26/16 7:13:01 PM,C,31.607
12/26/16 7:23:01 PM,C,31.108
12/26/16 7:33:01 PM,C,30.609
12/26/16 7:43:01 PM,C,30.109
12/26/16 7:53:01 PM,C,30.109
12/26/16 8:03:01 PM,C,29.61
12/26/16 8:13:01 PM,C,29.11
12/26/16 8:23:01 PM,C,28.61
12/26/16 8:33:01 PM,C,28.111
12/26/16 8:43:01 PM,C,27.611
12/26/16 8:53:01 PM,C,27.611
12/26/16 9:03:01 PM,C,27.111
12/26/16 9:13:01 PM,C,26.611
12/26/16 9:23:01 PM,C,26.611
12/26/16 9:33:01 PM,C,26.611
12/26/16 9:43:01 PM,C,26.111
12/26/16 9:53:01 PM,C,26.111
12/26/16 10:03:01 PM,C,25.611
12/26/16 10:13:01 PM,C,25.611
12/26/16 10:23:01 PM,C,25.611
12/26/16 10:33:01 PM,C,25.111
12/26/16 10:43:01 PM,C,25.111
12/26/16 10:53:01 PM,C,25.111
12/26/16 11:03:01 PM,C,25.111
12/26/16 11:13:01 PM,C,24.611
12/26/16 11:23:01 PM,C,24.611
12/26/16 11:33:01 PM,C,24.611
12/26/16 11:43:01 PM,C,24.111
12/26/16 11:53:01 PM,C,24.111
12/27/16 12:03:01 AM,C,24.111
12/27/16 12:13:01 AM,C,24.111
12/27/16 12:23:01 AM,C,23.611
12/27/16 12:33:01 AM,C,23.611
12/27/16 12:43:01 AM,C,23.611
12/27/16 12:53:01 AM,C,23.611
12/27/16 1:03:01 AM,C,23.611
12/27/16 1:13:01 AM,C,23.611
12/27/16 1:23:01 AM,C,23.111
12/27/16 1:33:01 AM,C,23.111
12/27/16 1:43:01 AM,C,23.111
12/27/16 1:53:01 AM,C,23.111
12/27/16 2:03:01 AM,C,23.111
12/27/16 2:13:01 AM,C,22.61
